NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
4 0.601 268.5344 1.134004 23.57 21.58616 1.509823 0.2276111 36.312 0.01747258 -5.524857 0.04596118 -0.04507558 1 723163 SHALLOW 4.297999,5.716977,0.0,21.32962 -2.470146626263146,-2.5004092454112796,-1.983838471898247,-1.2758848976070807 -0.3878703,0.2880153,0.8674838,-0.4105552 -0.7349586,-0.7693087,0.103881,0.5687527
2 0.629 141.2538 1.172764 23.25 21.71603 0.4482007 0.00654511 -11.9572 0.03050789 97.39223 0.002836445 -0.05203892 2 766057 SHALLOW 0.0,4.105944 -1.5594268775267999,-1.5339745921353984 0.02123138,-0.00523948 -0.2771186,0.1702997
2 0.623 319.1538 1.252408 21.84 20.79876 2.558427 0.2552578 151.3772 0.06693923 -160.7659 -0.3746447 0.001382003 2 854985 SHALLOW 0.0,157.7822 -1.0412376314257166,-1.583496902182786 -1.690469,0.8595371 0.06142856,0.2688339
2 0.266 137.7209 1.261436 22.5 21.68645 0.8292824 0.09430084 -64.7517 0.05469524 -34.73743 0.07329128 -0.1399201 2 862313 SHALLOW 0.0,5.661772 -1.065391310071659,-0.8135515634796874 0.3260671,-0.09677187 -0.4823865,0.2309974
2 0.921 261.8183 1.293319 21.66 20.54915 0.8671983 0.0796406 -36.2542 0.08353821 -139.2285 0.03858505 0.1059556 2 902275 SHALLOW 42.37453,0.0 -1.1108502736782468,-1.4239204664918512 -0.06349932,0.3047706 -0.3075919,0.477526
2 0.441 218.273 1.311739 23.26 21.57291 1.537491 0.1199252 -103.356 0.03518677 -179.6834 0.02731973 -0.1248724 1 920093 SHALLOW 0.0,17.0153 -2.176827854179924,-1.6870883484753219 0.09359671,-0.2168954 -0.8925291,0.6132845
4 0.565 177.0109 1.316367 23.91 21.8768 0.7594688 0.1725949 -1.664504 0.09506432 -158.6632 0.03093656 -0.1005769 2 926359 SHALLOW 0.0,10.78975,0.6158975,0.5982901 -2.0332000340586225,-0.2597212994702052,-3.432642472393952,-3.279957028978466 0.4220682,-0.06593228,-0.03446168,-0.1697842 -0.2677368,0.2770061,-0.4818103,-0.4646206
4 0.706 362.243 1.382142 22.42 21.24416 3.166503 0.3385631 -173.8665 0.03240441 6.327245 0.06315599 -0.07057538 2 1001712 SHALLOW 67.27019,32.88225,0.0,104.8664 -1.1758354533715836,-1.5328506390485932,-1.3119821079018794,-0.7393030491670238 -0.01576416,-1.480594,1.661646,-0.2423149 -1.380089,-0.4588995,-0.06765521,1.207445
2 0.603 258.8213 1.415726 21.93 21.29779 1.665469 0.2595665 102.982 0.06807047 -14.31926 0.1335665 0.1924661 5 1038947 SHALLOW 56.18142,0.0 -0.6322083943698963,-1.9338095370807307 -0.454323,0.3374401 -0.4422712,1.022958
4 0.372 72.4436 1.49428 22.26 21.70327 0.2135673 0.513149 125.4592 0.04640866 67.28609 -0.003786959 0.003998442 2 1125888 SHALLOW 0.07207678,0.1632104,0.1754542,0.0 -1.3156778875648816,-0.5567255115977842,-0.5176222511414681,-1.1036376714738787 0.04423998,-0.06986131,0.07618538,-0.05568975 -0.09164247,-0.05334374,0.03743987,0.09710346
2 0.579 125.3141 1.680491 22.72 21.76854 0.5221254 0.156429 -39.20849 0.07159482 -60.80308 -0.07535336 0.05556677 2 1337875 SHALLOW 5.737629,0.0 -1.0946747453878105,-0.9514587241283344 0.145592,-0.2629624 -0.07144552,0.2536672
2 0.512 252.9298 1.751098 22.55 21.32354 2.160671 0.323799 -134.6527 0.04603609 148.0747 -0.1731432 -0.2518616 2 1415971 SHALLOW 0.0,64.14703 -1.2264632356752516,-1.5439855125268098 -0.9215914,0.2435909 -1.052244,0.7673301
2 0.732 96.60509 1.773195 22.67 21.77297 0.2222591 0.5327949 20.51566 0.05997535 -88.1198 0.03238285 0.006599237 2 1442370 SHALLOW 1.469072,0.0 -1.0211655362715648,-0.8970320845037972 -0.07420176,0.1480025 0.05194954,0.05688734
2 0.758 180.7174 1.817923 22.81 21.48565 0.8133727 0.1179448 -171.9859 0.05027422 -104.9938 0.0785383 -0.01916327 2 1492213 SHALLOW 0.0,11.52718 -2.112007169123025,-1.3243453180481928 0.4910112,-0.3105415 -0.01494079,0.1232204
2 1.202 276.6942 1.829217 21.4 21.54935 1.130641 0.3585973 115.717 0.09048759 66.92403 -0.03546271 0.3515635 2 1506953 SHALLOW 186.2778,0.0 0.14935220227154594,-0.633031728378932 -0.00468127,-0.04652242 -0.1918545,0.938012
4 0.521 185.3532 1.909555 23.83 20.43374 1.459888 0.2092362 -14.87777 0.1454814 167.2553 -0.2115362 0.05185742 1 1591170 SHALLOW 0.0,29.64702,29.63044,29.6308 -0.7238196541263969,-3.3962609741242495,-5.164348779176679,-4.925568746473717 -0.9589494,0.404861,0.4714655,0.4731923 0.2291512,-0.2360982,-0.06271782,-0.01685861
2 0.797 193.6422 1.986195 23.12 21.92083 0.9990837 0.2587149 -40.6217 0.03692581 -124.0481 -0.1023117 0.1349347 2 1676355 SHALLOW 29.73743,0.0 -1.199172527350975,-1.199165331424059 0.1739884,-0.4108725 -0.2875758,0.5224279
4 0.713 219.2805 1.992173 24.17 21.27437 1.492205 0.1532997 68.5961 0.08996527 160.6491 0.01249735 -0.005030899 2 1682228 SHALLOW 4.045765,0.0,2.914714,4.303686 -2.9555414452988478,-2.7022504483186465,-3.3307471431351776,-2.895625712150082 -0.3675089,0.7264566,-0.7099307,-0.01003638 -0.5501333,-0.2281818,0.1761306,0.6622271
2 0.445 236.592 2.287081 23.02 21.76203 2.331459 0.1667634 146.077 0.04268977 -163.917 -0.3043861 0.06812866 2 1989410 SHALLOW 0.0,52.0495 -1.257965155232363,-1.7215042230732094 -1.455382,0.8385066 0.2958143,-0.1210497
2 0.763 108.6426 2.393969 23.06 21.95454 0.359847 0.2785465 -67.45323 0.03995235 155.1188 -0.04048314 0.02818994 5 2098894 SHALLOW 2.865847,0.0 -1.1302197041114226,-1.1054571839446605 0.1318376,-0.1743221 -0.0230633,0.1660296
2 0.099 274.7894 0.2460767 24.08 23.58391 2.450453 0.3693364 -55.69391 0.06051657 43.22277 -0.458832 0.2749111 3 14738 MEDIUM 28.08392,0.0 -0.49609008821871686,-1.0712133227873613 0.7072958,-1.382098 -0.1956382,1.084658
2 0.16 100.4616 0.3178479 24.25 23.9439 0.2692246 0.4378797 178.3848 0.06808416 -6.065955 -0.04399446 -0.0166076 4 37393 MEDIUM 0.0,0.6364535 -0.7113650099749782,-0.3060975797667288 -0.2044756,0.04650115 -0.02217361,0.07525626
2 0.263 114.025 0.3688897 24.63 23.60539 0.1882061 0.2855624 70.65861 0.05724457 -173.1688 -0.01609518 -0.0007427404 3 60144 MEDIUM 0.0,0.4188412 -1.6238900984748397,-1.0246076108907547 -0.1067392,0.07869795 -0.05376918,-0.02160394
4 0.329 217.771 0.4740298 25.75 24.79055 0.8045053 0.4607976 -26.45866 0.09562879 -166.3938 0.04827767 0.04697056 3 117753 MEDIUM 9.74818,0.0,4.155356,4.731818 0.008289565919613742,-0.9594495783545967,-1.6261937891551042,-1.3521404775293884 -0.1151531,0.4843292,-0.288466,0.008866011 -0.2372222,0.03143486,0.2550784,0.3654246
2 0.224 182.3896 0.4799377 25.73 24.63689 0.9767884 0.3023674 -45.10146 0.0646086 66.89468 0.1008066 -0.1385983 3 120740 MEDIUM 0.0,8.863307 -1.0931052726354527,-1.3006958108493463 0.3361354,-0.1954234 -0.5656196,0.2538686
2 0.25 201.8366 0.4829005 23.51 24.15537 1.054246 0.1954872 -43.64322 0.03111342 -166.7229 -0.2941233 -0.1233885 1 122751 MEDIUM 0.0,22.13911 -1.0556105088172059,0.6453686877131091 -0.8257774,0.1752227 -0.238938,0.09186834
4 0.243 187.0682 0.4829005 24.9 24.00957 0.943543 0.548816 41.64415 0.07150978 41.94441 -0.1369429 0.1045967 2 122706 MEDIUM 9.848222,0.0,2.371874,1.907106 1.055308126053177,-0.8904323917713672,-1.075706990215707,-1.3188485604241023 0.1445799,-0.6022833,-0.2782014,0.06603504 -0.1426351,-0.1178654,0.4374002,0.5481856
2 0.161 254.683 0.488844 23.91 23.5461 2.177609 0.3132035 -134.3196 0.0411018 26.59082 0.003916504 0.3232999 1 125852 MEDIUM 25.85315,0.0 -0.363895289249625,-1.1363739794852086 0.2992577,0.6930606 -0.7491034,1.392602
2 0.267 161.808 0.5311208 24.39 23.64891 0.6629125 0.3648365 -55.62955 0.03694268 -69.16193 0.01317519 -0.08822173 3 154528 MEDIUM 0.0,4.9701 -0.9356405834542698,-0.7410919915061251 0.1709641,0.1229723 -0.4373505,0.2238225
2 0.413 210.3778 0.5496049 24.83 24.63119 0.5373155 0.2321195 -39.60724 0.01995332 -165.8046 0.06929498 0.06553671 4 168226 MEDIUM 10.97355,0.0 -0.19880779589390618,-1.8782651351145851 -0.1177416,0.3160281 -0.1268014,0.1902975
4 0.389 155.2387 0.5589305 25.42 24.22698 0.3386371 0.5427583 -21.39037 0.03571701 136.4915 0.03284929 0.06043786 4 174732 MEDIUM 3.839596,0.0,0.4540037,0.2542308 0.9102343134744312,-1.1930220715252728,-1.337464882173856,-1.385924546562549 -0.03568257,0.2227258,0.07013358,-0.08120945 -0.07812944,0.06602001,0.2080888,0.2153465
2 0.289 208.4491 0.5683122 25.53 24.55544 1.069896 0.379403 -128.8025 0.02419408 79.33455 -0.1126835 -0.08385226 2 180885 MEDIUM 0.0,13.4903 -0.9745616220560284,-1.0463245398801166 -0.5040952,0.4262428 -0.5489609,-0.02061615
2 0.084 181.5516 0.5683122 23.96 24.71763 1.720062 0.1652164 -121.4879 0.09217422 94.21281 -0.1574877 0.5314043 3 179631 MEDIUM 0.0,11.88606 -0.7206963011317369,0.757627801560914 -0.2369295,0.09606398 1.457584,-0.2299373
2 0.205 242.1029 0.574598 25.27 23.95488 2.06483 0.2507366 33.23873 0.04965214 93.47535 0.07531496 0.2272442 3 184747 MEDIUM 21.13013,0.0 -1.4310895295231334,-1.3151208944378627 0.04494556,0.5596232 -0.8109794,1.188678
2 0.231 245.4709 0.5777503 24.5 23.67006 1.993628 0.420474 -49.65135 0.04125087 28.78873 0.3698365 -0.2732747 4 187238 MEDIUM 0.0,44.98223 -0.8299431424245901,-0.8791859648783025 1.138404,-0.5071493 -0.8995704,0.2259112
2 0.298 211.8361 0.5777503 22.48 23.83428 1.12892 0.1894163 80.51876 0.03567725 53.55129 -0.2179837 0.3829938 5 187733 MEDIUM 0.0,38.98882 -0.8640885120448015,1.3542833848522187 -0.3591258,0.07497908 0.9358144,-0.1063057
2 0.239 228.5599 0.584074 23.76 24.40873 1.411384 0.2691801 -156.2051 0.1295559 174.3521 -0.03449352 -0.3800865 2 192047 MEDIUM 0.0,29.14492 -1.4778187987264615,0.648728135493023 -0.649821,-0.01473103 -0.8922102,0.368213
2 0.229 194.536 0.590423 24.62 23.72118 1.345767 0.2867404 176.5574 0.0296743 178.7421 0.2296163 -0.003485922 1 196751 MEDIUM 14.59845,0.0 -1.8790573457730841,-0.8988194097375182 -0.4358589,0.9099077 -0.02588375,-0.02723029
2 0.517 149.2794 0.593607 24.2 24.66048 0.1201565 0.4631287 11.46904 0.008892322 -42.92454 -0.0007715119 0.02413244 1 200649 MEDIUM 1.648839,0.0 0.4604778857251967,-1.4795623964932545 0.00475492,0.04776171 -0.0376706,0.07452561
2 0.417 118.0321 0.6031974 25.22 24.48184 0.2514161 0.1160479 -98.71877 0.1138681 88.07855 0.005047576 0.05665669 2 207635 MEDIUM 2.453897,0.0 -0.7625600506642349,-0.7381555429943055 -0.005865596,0.01364037 -0.06126281,0.1893955
2 0.254 133.9677 0.609623 24.11 22.77325 0.5417362 0.01241 -97.77486 0.04777955 -23.82381 -0.04277524 -0.02691848 1 211439 MEDIUM 0.0,1.572177 -2.0113842233899653,-1.3367465363877864 -0.3193023,0.1701307 -0.08755743,0.1446782
2 0.136 133.0454 0.6160744 24.37 24.65118 0.7205559 0.1618746 -149.0966 0.04128752 1.866238 0.07045274 -0.1635364 1 215678 MEDIUM 0.0,2.812125 -1.760256768709394,0.28118263954163214 0.2529734,-0.07460523 -0.4705192,0.1712697
2 0.116 142.5608 0.6193098 24.28 23.04234 0.8973578 0.2973106 162.3724 0.0685818 46.33196 0.1165426 -0.04544311 2 218132 MEDIUM 0.0,2.120163 -1.237660667737404,-1.3903076899000792 0.5801509,-0.2616069 -0.1023704,0.2085877
