NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
4 0.957 167.1091 2.476409 25.14 24.12025 0.7289234 0.4961154 38.62615 0.02086749 -125.997 0.06473807 -0.02996507 1 2180403 MEDIUM 4.562904,5.443541,13.33735,0.0 -1.5114635991906302,-1.1946285335828706,0.12865438116599065,-1.0197509259092004 -0.1154607,0.1649569,-0.1704494,0.4078721 -0.3620858,-0.3235566,0.1647632,0.1453116
4 1.004 216.7704 1.795469 25.36 22.71967 0.9274181 0.06575876 119.9198 0.06705904 143.1825 -0.03687884 0.03662247 2 1468571 MEDIUM 0.0,14.92832,14.52827,14.65235 -1.5300024944591482,-2.640327032550545,-3.560423003725848,-3.091549701054955 -0.3813999,0.03607087,0.3311166,0.3986373 0.3532979,-0.3888517,-0.2403558,-0.03513328
2 0.93 152.0548 2.490343 24.69 24.08431 0.5909579 0.391538 -105.5591 0.06181717 67.58851 -0.04981132 -0.06749506 1 2193678 MEDIUM 0.0,12.44649 -0.8100503819960608,-0.6056862715123765 -0.1831671,0.2153871 -0.392163,0.04416919
2 0.588 216.2719 2.750916 24.66 24.5775 1.817742 0.2827883 106.904 0.05415553 110.533 0.05796925 0.4670526 2 2437147 MEDIUM 86.82261,0.0 -0.08250329839116877,-0.7532490220775413 -0.1484179,-0.0800059 -0.3910082,1.425446
2 0.916 86.69619 1.70743 25.71 24.60934 0.1451268 0.1558312 160.8538 0.09139016 -6.3937 -0.01305207 0.008563408 2 1370034 MEDIUM 0.0,0.7232455 -1.1006582430432195,-1.1466867646137893 -0.0942241,0.02258174 0.03241391,-0.05371491
2 0.803 214.2891 1.992173 25.05 24.08167 1.255261 0.2234447 34.93391 0.04956306 -165.0859 0.1530657 0.1559477 1 1682824 MEDIUM 50.58319,0.0 -1.0808275052821883,-0.9683334999712769 -0.196942,0.699429 -0.3550467,0.5237023
2 0.378 160.6941 2.60384 25.71 24.45847 1.156783 0.04882002 91.42488 0.04022396 61.16709 0.1008541 0.1275582 1 2299721 MEDIUM 0.0,10.84132 -1.3377207988246989,-1.2515269052152824 0.4150608,-0.2884932 0.6264905,-0.2917467
2 1.248 100.0 2.951124 25.78 24.65128 0.1964019 0.3334182 -44.37474 0.04798335 55.10311 -0.004193491 -0.01169575 1 2618871 MEDIUM 0.9487182,0.0 -1.1287154053232489,-1.8067618409294122 0.05915272,0.02809232 0.07442285,-0.1195075
2 0.298 148.2518 1.229996 25.63 23.68944 0.7851216 0.06475386 136.4823 0.03750342 97.78836 0.03265421 -0.008405122 1 827087 MEDIUM 0.0,1.652287 -2.319227593293166,-1.9405598104035207 0.3383166,-0.3875101 -0.3324124,-0.03309411
2 0.29 256.4484 0.6686251 23.75 23.43446 2.272974 0.7323314 -57.85887 0.122709 -82.51553 -0.2552749 0.6417907 1 259416 MEDIUM 0.0,105.345 -0.31554125937968514,-0.5456919862995677 -0.7019907,-0.05425188 1.814502,-0.3642244
2 0.278 169.0441 1.075081 25.06 24.10105 1.073829 0.3031147 56.0816 0.09081675 -37.0284 0.1374705 0.1223753 5 656655 MEDIUM 9.457009,0.0 -0.9589505225822825,-1.4373295323436097 -0.3025536,0.5157383 -0.2113354,0.484011
2 0.68 231.7395 2.346784 24.79 24.56402 1.773406 0.2312979 -151.892 0.06792322 127.3128 -0.4040906 0.09225634 1 2051238 MEDIUM 92.45311,0.0 -0.22598288398575078,-1.1185374114879614 0.4405565,-1.266419 -0.1546536,0.3261809
