NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 1.825 184.0772 3.13712 25.76 24.77946 0.4334564 0.1830213 153.1804 0.0783832 -140.6525 -0.02295582 0.04354814 1 2777102 MEDIUM 13.00287,0.0 -0.9805399350383209,-2.3237469436601392 0.05896305,-0.1782262 -0.1647034,0.1980992
2 1.184 128.5287 2.320117 24.51 23.11595 0.2926892 0.2467216 43.2276 0.02677912 -91.21491 -0.003244155 -0.02090737 2 2027198 MEDIUM 0.0,2.580685 -1.490058345316009,-1.3940530858720614 -0.07914015,-0.05955189 -0.169303,0.1227299
2 1.012 175.3881 1.44489 25.73 23.09309 0.3758044 0.05366292 157.2154 0.02870969 96.19543 0.004088078 -0.007396467 4 1074045 MEDIUM 0.0,1.492309 -2.6369145874953244,-4.379340838659242 0.09145226,-0.1552312 -0.1832912,0.1002159
3 1.476 161.808 2.546638 26.29 24.66148 0.249301 0.6252193 -132.5051 0.07689782 22.95383 -0.1053118 0.1180608 1 2250283 MEDIUM 0.0,0.2526749,0.01775867 -1.6285199801707413,-2.040698061276173,-1.725971362628997 -0.2884911,-0.2125955,-0.1050973 0.1079997,0.208414,0.2768717
2 0.833 194.0886 2.504332 25.35 23.97271 1.037384 0.3739288 -86.47299 0.1491892 10.77973 0.06468467 -0.07251502 2 2206668 MEDIUM 16.67211,0.0 -1.3772941527740108,-2.4613353849764144 -0.3461519,0.4180216 0.2604583,-0.4411141
2 0.55 261.2161 2.448709 25.97 24.69022 2.541213 0.08086265 -74.4789 0.05231107 53.14924 0.2421043 0.1390627 5 2151005 MEDIUM 68.5834,0.0 -1.2797815618988697,-1.5988730957392008 -0.9352186,1.185326 -0.3226147,1.077761
2 0.717 215.7744 2.661965 25.7 24.66337 1.612262 0.2312906 50.32753 0.0454608 -160.9559 0.2153351 0.1099198 1 2356003 MEDIUM 0.0,52.10754 -1.0366262845083145,-1.454083508130426 0.9188433,-0.5562333 0.5602317,-0.09056531
2 0.16 249.4595 1.596073 24.29 24.2495 3.327765 0.290038 -152.2944 0.0407179 14.01969 0.9362624 0.2942785 2 1240236 MEDIUM 73.64973,0.0 -0.04049965969477855,-0.6785380783231243 -0.6256956,2.541885 -0.1416702,0.8783562
2 0.518 187.4995 1.606478 24.58 23.56996 1.17595 0.3026498 160.8585 0.03008796 -137.4368 -0.1987571 0.09512798 1 1254188 MEDIUM 26.06025,0.0 -1.1247757972938963,-1.010039987234115 0.3036202,-0.7630504 -0.2184665,0.2765821
2 0.934 237.684 2.743421 24.96 24.54091 1.578053 0.299268 123.7167 0.07367419 35.27824 0.2226806 0.117185 1 2432209 MEDIUM 74.7569,0.0 -0.4190870374541333,-1.8777498976690081 -0.4512736,0.9403013 -0.2549763,0.4891809
2 0.596 235.5049 1.377382 24.38 23.96557 1.447651 0.2728285 66.04315 0.02779456 34.67191 0.04156784 -0.2782957 5 995569 MEDIUM 0.0,59.60813 -1.0748366941668785,-0.4144250739302399 -0.1109988,-0.1956022 -1.034612,0.4105639
2 0.451 122.7439 1.198994 24.85 24.06173 0.4930349 0.4217768 100.3196 0.05136344 49.52821 0.01191754 0.09544977 2 793586 MEDIUM 4.537141,0.0 -1.3015530031638145,-0.7882718726734127 -0.07388275,0.03438465 -0.133389,0.3476115
